Actions,WIID,Description,Type,Status,Date
,146054,Generate Yearly Report for Vendor,WI4,Completed,2017-04-30
,150581,Verify Account Positions,WI1,Open,2017-03-17
,196711,Verify Account Positions,WI1,Open,2017-09-24
,220744,Generate Yearly Report for Vendor,WI4,Completed,2018-01-26
,227225,Calculate Client Security Hash,WI5,Completed,2017-03-10
,229091,Verify Account Positions,WI1,Open,2017-06-18
,229822,Research Client Check Copy,WI2,Open,2018-03-20
,251461,Verify Account Positions,WI1,Open,2017-12-03
,298143,Process Vendor Invoice,WI3,Open,2017-10-01
,316385,Calculate Client Security Hash,WI5,Completed,2017-10-02
,329652,Research Client Check Copy,WI2,Open,2018-05-14
,332532,Research Client Check Copy,WI2,Open,2018-03-07
,397893,Process Vendor Invoice,WI3,Open,2017-02-04
,401885,Calculate Client Security Hash,WI5,Completed,2018-05-17
,417912,Research Client Check Copy,WI2,Open,2018-03-14
,440625,Calculate Client Security Hash,WI5,Completed,2017-04-10
,493971,Verify Account Positions,WI1,Open,2017-11-04
,501642,Research Client Check Copy,WI2,Open,2018-05-14
,505364,Generate Yearly Report for Vendor,WI4,Completed,2017-06-12
,529713,Process Vendor Invoice,WI3,Open,2018-01-17
,534952,Research Client Check Copy,WI2,Open,2017-11-15
,535281,Verify Account Positions,WI1,Open,2017-12-04
,576711,Verify Account Positions,WI1,Open,2017-09-28
,614634,Generate Yearly Report for Vendor,WI4,Completed,2017-04-01
,623084,Generate Yearly Report for Vendor,WI4,Completed,2017-05-24
,673212,Research Client Check Copy,WI2,Open,2018-01-14
,678375,Calculate Client Security Hash,WI5,Completed,2017-03-08
,687924,Generate Yearly Report for Vendor,WI4,Completed,2018-05-23
,734692,Research Client Check Copy,WI2,Open,2017-12-11
,740531,Verify Account Positions,WI1,Open,2017-08-07
,775724,Generate Yearly Report for Vendor,WI4,Completed,2018-02-05
,776393,Process Vendor Invoice,WI3,Open,2017-08-17
,790602,Research Client Check Copy,WI2,Open,2017-02-25
,811272,Research Client Check Copy,WI2,Open,2017-05-21
,813175,Calculate Client Security Hash,WI5,Completed,2017-03-06
,847114,Generate Yearly Report for Vendor,WI4,Completed,2017-12-16
,853634,Generate Yearly Report for Vendor,WI4,Completed,2017-05-22
,872661,Verify Account Positions,WI1,Open,2018-02-15
,875543,Process Vendor Invoice,WI3,Open,2018-03-18
,886195,Calculate Client Security Hash,WI5,Completed,2018-02-12
,898134,Generate Yearly Report for Vendor,WI4,Completed,2017-08-24
,974461,Verify Account Positions,WI1,Open,2018-04-06
,996631,Verify Account Positions,WI1,Open,2018-04-19
